,target_id,length,eff_length,est_counts,tpm,strain_name_x,gene_name,taxonomy
15,Aazo_0025-NC_014248,239,189.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
16,Aazo_0026-NC_014248,68,18.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
17,Aazo_0027-NC_014248,269,219.0,0.0,0.0,'Nostoc azollae' 0708,inositol monophosphatase; K01092 myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
18,Aazo_0028-NC_014248,477,427.0,0.0,0.0,'Nostoc azollae' 0708,"PUCC protein; K08226 MFS transporter, BCD family, chlorophyll transporter",Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
19,Aazo_0030-NC_014248,40,1.00001,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
20,Aazo_0031-NC_014248,34,1.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
21,Aazo_0033-NC_014248,823,773.0,0.0,0.0,'Nostoc azollae' 0708,heterocyst differentiation protein HetF,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
22,Aazo_0034-NC_014248,112,62.0,0.0,0.0,'Nostoc azollae' 0708,nitrogen regulatory protein P-II; K04751 nitrogen regulatory protein P-II 1,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
23,Aazo_0035-NC_014248,37,1.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
24,Aazo_0036-NC_014248,67,17.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
25,Aazo_0037-NC_014248,192,142.0,0.0,0.0,'Nostoc azollae' 0708,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase; K01516 nucleoside-triphosphatase [EC:3.6.1.15],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
26,Aazo_0038-NC_014248,480,430.0,0.0,0.0,'Nostoc azollae' 0708,phosphoglucomutase/phosphomannomutase alpha/beta/alpha domain I; K01840 phosphomannomutase [EC:5.4.2.8],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
27,Aazo_0039-NC_014248,225,175.0,0.0,0.0,'Nostoc azollae' 0708,phosphoribosylglycinamide formyltransferase; K11175 phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
28,Aazo_0041-NC_014248,259,209.0,0.0,0.0,'Nostoc azollae' 0708,ABC-2 type transporter,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
29,Aazo_0042-NC_014248,336,286.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
30,Aazo_0043-NC_014248,182,132.0,0.0,0.0,'Nostoc azollae' 0708,filament integrity protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
31,Aazo_0044-NC_014248,378,328.0,0.0,0.0,'Nostoc azollae' 0708,ATP:corrinoid adenosyltransferase BtuR/CobO/CobP; K00798 cob(I)alamin adenosyltransferase [EC:2.5.1.17],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
32,Aazo_0047-NC_014248,77,27.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
33,Aazo_0048-NC_014248,350,300.0,0.0,0.0,'Nostoc azollae' 0708,cytochrome c-type biogenesis protein CcsB,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
34,Aazo_0049-NC_014248,566,516.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
35,Aazo_0050-NC_014248,205,155.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
36,Aazo_0051-NC_014248,448,398.0,0.0,0.0,'Nostoc azollae' 0708,"acetyl-CoA carboxylase biotin carboxylase; K01961 acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]",Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
37,Aazo_0052-NC_014248,97,47.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein; K02221 YggT family protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
38,Aazo_0053-NC_014248,40,1.00001,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
39,Aazo_0054-NC_014248,39,1.0,0.0,0.0,'Nostoc azollae' 0708,photosystem II protein PsbX; K02722 photosystem II PsbX protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
40,Aazo_0055-NC_014248,306,256.0,0.0,0.0,'Nostoc azollae' 0708,Ycf66 family protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
41,Aazo_0056-NC_014248,184,134.0,0.0,0.0,'Nostoc azollae' 0708,WD40 domain-containing protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
42,Aazo_0057-NC_014248,175,125.0,0.0,0.0,'Nostoc azollae' 0708,WD40 domain-containing protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
43,Aazo_0058-NC_014248,335,285.0,0.0,0.0,'Nostoc azollae' 0708,succinate dehydrogenase and fumarate reductase iron-sulfur protein (EC:1.3.99.1); K00240 succinate dehydrogenase iron-sulfur subunit [EC:1.3.99.1],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
44,Aazo_0059-NC_014248,56,6.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
45,Aazo_0060-NC_014248,43,1.0002,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
46,Aazo_0061-NC_014248,145,95.0,0.0,0.0,'Nostoc azollae' 0708,transcriptional regulator AbrB,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
47,Aazo_0062-NC_014248,290,240.0,0.0,0.0,'Nostoc azollae' 0708,abortive infection protein; K07052,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
48,Aazo_0063-NC_014248,53,3.0139,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
49,Aazo_0064-NC_014248,373,323.0,0.0,0.0,'Nostoc azollae' 0708,geranylgeranyl reductase,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
50,Aazo_0065-NC_014248,182,132.0,0.0,0.0,'Nostoc azollae' 0708,ribosome recycling factor; K02838 ribosome recycling factor,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
51,Aazo_0066-NC_014248,242,192.0,0.0,0.0,'Nostoc azollae' 0708,uridylate kinase (EC:2.7.4.22); K09903 uridylate kinase [EC:2.7.4.22],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
52,Aazo_0067-NC_014248,178,128.0,0.0,0.0,'Nostoc azollae' 0708,alkyl hydroperoxide reductase/Thiol specific antioxidant/Mal allergen,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
53,Aazo_0068-NC_014248,297,247.0,0.0,0.0,'Nostoc azollae' 0708,alpha/beta hydrolase fold-containing protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
54,Aazo_0070-NC_014248,70,20.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
55,Aazo_0071-NC_014248,79,29.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
56,Aazo_0072-NC_014248,59,9.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
57,Aazo_0073-NC_014248,89,39.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
58,Aazo_0074-NC_014248,105,55.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
59,Aazo_0075-NC_014248,722,672.0,0.0,0.0,'Nostoc azollae' 0708,"ABC transporter-like protein protein; K06148 ATP-binding cassette, subfamily C, bacterial",Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
60,Aazo_0076-NC_014248,506,456.0,0.0,0.0,'Nostoc azollae' 0708,secretion protein HlyD family protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
61,Aazo_0077-NC_014248,107,57.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
62,Aazo_0078-NC_014248,99,49.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
63,Aazo_0079-NC_014248,123,73.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
64,Aazo_0080-NC_014248,127,77.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
65,Aazo_0081-NC_014248,129,79.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
66,Aazo_0082-NC_014248,236,186.0,0.0,0.0,'Nostoc azollae' 0708,phosphatidate cytidylyltransferase,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
67,Aazo_0083-NC_014248,81,31.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein; K08998 hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
68,Aazo_0086-NC_014248,175,125.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein; K06985 aspartyl protease family protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
69,Aazo_0087-NC_014248,231,181.0,0.0,0.0,'Nostoc azollae' 0708,peptidase M15D VanX D-ala-D-ala dipeptidase; K08641 D-alanyl-D-alanine dipeptidase [EC:3.4.13.22],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
70,Aazo_0089-NC_014248,272,222.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
71,Aazo_0090-NC_014248,242,192.0,0.0,0.0,'Nostoc azollae' 0708,DevA family ABC exporter ATP-binding subunit; K02003,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
72,Aazo_0091-NC_014248,384,334.0,0.0,0.0,'Nostoc azollae' 0708,DevC protein; K02004,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
73,Aazo_0092-NC_014248,479,429.0,0.0,0.0,'Nostoc azollae' 0708,DevB family ABC exporter membrane fusion protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
74,Aazo_0093-NC_014248,245,195.0,0.0,0.0,'Nostoc azollae' 0708,ferredoxin-dependent bilin reductase; K05371 phycocyanobilin:ferredoxin oxidoreductase [EC:1.3.7.5],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
75,Aazo_0094-NC_014248,78,28.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
76,Aazo_0095-NC_014248,197,147.0,0.0,0.0,'Nostoc azollae' 0708,maf protein; K06287 septum formation protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
77,Aazo_0096-NC_014248,181,131.0,0.0,0.0,'Nostoc azollae' 0708,photosystem II oxygen evolving complex protein PsbP; K02717 photosystem II oxygen-evolving enhancer protein 2,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
78,Aazo_0097-NC_014248,114,64.0,0.0,0.0,'Nostoc azollae' 0708,putative transcriptional regulator,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
79,Aazo_0099-NC_014248,476,426.0,0.0,0.0,'Nostoc azollae' 0708,dihydrolipoamide dehydrogenase; K00382 dihydrolipoamide dehydrogenase [EC:1.8.1.4],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
80,Aazo_0100-NC_014248,294,244.0,0.0,0.0,'Nostoc azollae' 0708,Indole-3-glycerol-phosphate synthase (EC:4.1.1.48); K01609 indole-3-glycerol phosphate synthase [EC:4.1.1.48],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
81,Aazo_0101-NC_014248,51,1.52009,0.0,0.0,'Nostoc azollae' 0708,multi-sensor hybrid histidine kinase,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
82,Aazo_0102-NC_014248,78,28.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
83,Aazo_0103-NC_014248,382,332.0,0.0,0.0,'Nostoc azollae' 0708,class V aminotransferase,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
84,Aazo_0104-NC_014248,104,54.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
85,Aazo_0105-NC_014248,75,25.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
86,Aazo_0106-NC_014248,174,124.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein; K09005 hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
87,Aazo_0107-NC_014248,151,101.0,0.0,0.0,'Nostoc azollae' 0708,ferredoxin; K05337 ferredoxin,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
88,Aazo_0108-NC_014248,128,78.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
89,Aazo_0109-NC_014248,70,20.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
90,Aazo_0112-NC_014248,63,13.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
91,Aazo_0113-NC_014248,312,262.0,0.0,0.0,'Nostoc azollae' 0708,phosphoribulokinase/uridine kinase; K00855 phosphoribulokinase [EC:2.7.1.19],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
92,Aazo_0114-NC_014248,220,170.0,0.0,0.0,'Nostoc azollae' 0708,caffeoyl-CoA O-methyltransferase (EC:2.1.1.104),Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
93,Aazo_0115-NC_014248,306,256.0,0.0,0.0,'Nostoc azollae' 0708,rhodanese domain-containing protein; K07146 UPF0176 protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
94,Aazo_0117-NC_014248,470,420.0,0.0,0.0,'Nostoc azollae' 0708,phospholipid/glycerol acyltransferase,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
95,Aazo_0118-NC_014248,127,77.0,0.0,0.0,'Nostoc azollae' 0708,PilT protein-like protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
96,Aazo_0119-NC_014248,67,17.0,0.0,0.0,'Nostoc azollae' 0708,prevent-host-death protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
97,Aazo_0120-NC_014248,74,24.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
98,Aazo_0121-NC_014248,494,444.0,0.0,0.0,'Nostoc azollae' 0708,precorrin-3B synthase; K00366 ferredoxin-nitrite reductase [EC:1.7.7.1],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
99,Aazo_0122-NC_014248,209,159.0,0.0,0.0,'Nostoc azollae' 0708,precorrin-8X methylmutase (EC:5.4.1.2); K06042 precorrin-8X methylmutase [EC:5.4.1.2],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
100,Aazo_0123-NC_014248,234,184.0,0.0,0.0,'Nostoc azollae' 0708,precorrin-2 C20-methyltransferase; K03394 precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
101,Aazo_0124-NC_014248,481,431.0,0.0,0.0,'Nostoc azollae' 0708,precorrin-3B C17-methyltransferase (EC:2.1.1.131); K13541 cobalamin biosynthesis protein CbiG / precorrin-3B C17-methyltransferase [EC:2.1.1.131],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
102,Aazo_0125-NC_014248,44,1.00055,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
103,Aazo_0129-NC_014248,182,132.0,0.0,0.0,'Nostoc azollae' 0708,pentapeptide repeat-containing protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
104,Aazo_0130-NC_014248,207,157.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
105,Aazo_0131-NC_014248,314,264.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
106,Aazo_0132-NC_014248,46,1.0040799999999999,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
107,Aazo_0133-NC_014248,956,906.0,0.0,0.0,'Nostoc azollae' 0708,"pyruvate phosphate dikinase PEP/pyruvate-binding protein; K01007 pyruvate, water dikinase [EC:2.7.9.2]",Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
