strain_name	peptide_count	taxonomy
Bifidobacterium dentium ATCC 27679	2336	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium dentium ATCC 27679
Bifidobacterium dentium Bd1	2129	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium dentium Bd1
Bifidobacterium dentium JCVIHMP022	2278	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium dentium JCVIHMP022
Bifidobacterium gallicum DSM 20093	1983	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium gallicum DSM 20093
Bifidobacterium longum DJO10A	2002	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum DJO10A
Bifidobacterium longum NCC2705	1729	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum NCC2705
Bifidobacterium longum VMKB44	37	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum VMKB44
Bifidobacterium longum subsp. infantis 157F	1999	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum subsp. infantis 157F
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	2416	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222
Bifidobacterium longum subsp. infantis CCUG 52486	2120	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum subsp. infantis CCUG 52486
Bifidobacterium longum subsp. longum ATCC 55813	2109	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum subsp. longum ATCC 55813
Bifidobacterium longum subsp. longum BBMN68	1806	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum subsp. longum BBMN68
Bifidobacterium longum subsp. longum F8	1682	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum subsp. longum F8
Bifidobacterium longum subsp. longum JCM 1217	1924	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum subsp. longum JCM 1217
Bifidobacterium longum subsp. longum JDM301	1958	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum subsp. longum JDM301
Bifidobacterium longum subsp. longum KACC 91563	1985	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium longum subsp. longum KACC 91563
Bifidobacterium pseudocatenulatum	2	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium pseudocatenulatum
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200	2125	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200
Bifidobacterium pseudolongum subsp. globosum	6	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium pseudolongum subsp. globosum
Bifidobacterium thermophilum RBL67	1845	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium thermophilum RBL67
Gardnerella vaginalis 409-05	1263	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;Gardnerella vaginalis 409-05
Gardnerella vaginalis 5-1	1335	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;Gardnerella vaginalis 5-1
Gardnerella vaginalis AMD	1313	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;Gardnerella vaginalis AMD
Gardnerella vaginalis ATCC 14018 = JCM 11026	1328	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;Gardnerella vaginalis ATCC 14018 = JCM 11026
Gardnerella vaginalis ATCC 14019	1365	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;Gardnerella vaginalis ATCC 14019
Gardnerella vaginalis HMP9231	1317	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;Gardnerella vaginalis HMP9231
Parascardovia denticolens DSM 10105 = JCM 12538	1680	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Parascardovia;Parascardovia denticolens DSM 10105 = JCM 12538
Parascardovia denticolens F0305	1481	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Parascardovia;Parascardovia denticolens F0305
Scardovia inopinata F0304	1432	Bacteria;Actinobacteria;Actinobacteria_X;Bifidobacteriales;Bifidobacteriaceae;Scardovia;Scardovia inopinata F0304
Actinospica robiniae DSM 44927	8657	Bacteria;Actinobacteria;Actinobacteria_X;Catenulisporales;Actinospicaceae;Actinospica;Actinospica robiniae DSM 44927
Catenulispora acidiphila DSM 44928	9056	Bacteria;Actinobacteria;Actinobacteria_X;Catenulisporales;Catenulisporaceae;Catenulispora;Catenulispora acidiphila DSM 44928
Corynebacterium L2-79-05	71	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium L2-79-05
Corynebacterium accolens ATCC 49725	2333	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium accolens ATCC 49725
Corynebacterium accolens ATCC 49726	2360	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium accolens ATCC 49726
Corynebacterium ammoniagenes DSM 20306	2654	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium ammoniagenes DSM 20306
Corynebacterium amycolatum SK46	2103	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium amycolatum SK46
Corynebacterium aurimucosum ATCC 700975	2551	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium aurimucosum ATCC 700975
Corynebacterium bovis DSM 20582	2338	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium bovis DSM 20582
Corynebacterium callunae	1	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium callunae
Corynebacterium callunae DSM 20147	2647	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium callunae DSM 20147
Corynebacterium casei	3	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium casei
Corynebacterium casei UCMA 3821	2871	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium casei UCMA 3821
Corynebacterium diphtheriae	16	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium diphtheriae
Corynebacterium diphtheriae 241	2245	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium diphtheriae 241
Corynebacterium diphtheriae 31A	2381	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium diphtheriae 31A
Corynebacterium diphtheriae BH8	2361	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium diphtheriae BH8
Corynebacterium diphtheriae C7 (beta)	2337	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium diphtheriae C7 (beta)
Corynebacterium diphtheriae CDCE 8392	2249	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium diphtheriae CDCE 8392
Corynebacterium diphtheriae HC01	2248	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium diphtheriae HC01
Corynebacterium diphtheriae HC02	2230	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium diphtheriae HC02
Corynebacterium diphtheriae HC03	2262	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium diphtheriae HC03
Corynebacterium diphtheriae HC04	2276	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium diphtheriae HC04
Corynebacterium diphtheriae INCA 402	2214	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium diphtheriae INCA 402
Corynebacterium diphtheriae NCTC 13129	2272	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium diphtheriae NCTC 13129
Corynebacterium diphtheriae PW8	2322	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium diphtheriae PW8
Corynebacterium diphtheriae VA01	2191	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium diphtheriae VA01
Corynebacterium efficiens YS-314 DSM 44549	6020	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium efficiens YS-314 DSM 44549
Corynebacterium genitalium ATCC 33030	2226	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium genitalium ATCC 33030
Corynebacterium glucuronalyticum ATCC 51867	2645	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium glucuronalyticum ATCC 51867
Corynebacterium glucuronolyticum ATCC 51866	2733	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium glucuronolyticum ATCC 51866
Corynebacterium glutamicum	112	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium glutamicum
Corynebacterium glutamicum ATCC 13032	3023	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium glutamicum ATCC 13032
Corynebacterium glutamicum K051	2992	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium glutamicum K051
Corynebacterium glutamicum R	3080	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium glutamicum R
Corynebacterium glutamicum SCgG1	3023	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium glutamicum SCgG1
Corynebacterium glutamicum SCgG2	3025	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium glutamicum SCgG2
Corynebacterium halotolerans YIM 70093 = DSM 44683	2865	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium halotolerans YIM 70093 = DSM 44683
Corynebacterium jeikeium	81	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium jeikeium
Corynebacterium jeikeium ATCC 43734	2224	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium jeikeium ATCC 43734
Corynebacterium jeikeium K411	2120	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium jeikeium K411
Corynebacterium kroppenstedtii DSM 44385	2018	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium kroppenstedtii DSM 44385
Corynebacterium lipophiloflavum DSM 44291	2371	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium lipophiloflavum DSM 44291
Corynebacterium maris DSM 45190	2584	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium maris DSM 45190
Corynebacterium matruchotii ATCC 14266	2619	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium matruchotii ATCC 14266
Corynebacterium matruchotii ATCC 33806	3144	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium matruchotii ATCC 33806
Corynebacterium nuruki S6-4	2797	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium nuruki S6-4
Corynebacterium pseudogenitalium ATCC 33035	2607	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium pseudogenitalium ATCC 33035
Corynebacterium pseudotuberculosis 1/06-A	1963	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium pseudotuberculosis 1/06-A
Corynebacterium pseudotuberculosis 1002	2090	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium pseudotuberculosis 1002
Corynebacterium pseudotuberculosis 258	2088	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium pseudotuberculosis 258
Corynebacterium pseudotuberculosis 267	2148	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium pseudotuberculosis 267
Corynebacterium pseudotuberculosis 3/99-5	2142	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium pseudotuberculosis 3/99-5
Corynebacterium pseudotuberculosis 31	2063	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium pseudotuberculosis 31
Corynebacterium pseudotuberculosis 316	2106	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium pseudotuberculosis 316
Corynebacterium pseudotuberculosis 42/02-A	2051	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium pseudotuberculosis 42/02-A
Corynebacterium pseudotuberculosis C231	2091	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium pseudotuberculosis C231
Corynebacterium pseudotuberculosis CIP 52.97	2060	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium pseudotuberculosis CIP 52.97
Corynebacterium pseudotuberculosis Cp162	2002	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium pseudotuberculosis Cp162
Corynebacterium pseudotuberculosis FRC41	2110	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium pseudotuberculosis FRC41
Corynebacterium pseudotuberculosis I19	2095	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium pseudotuberculosis I19
Corynebacterium pseudotuberculosis P54B96	2084	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium pseudotuberculosis P54B96
Corynebacterium pseudotuberculosis PAT10	2079	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium pseudotuberculosis PAT10
Corynebacterium renale	1	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium renale
Corynebacterium resistens DSM 45100	2171	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium resistens DSM 45100
Corynebacterium striatum	42	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium striatum
Corynebacterium striatum ATCC 6940	2677	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium striatum ATCC 6940
Corynebacterium terpenotabidum Y-11	2369	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium terpenotabidum Y-11
Corynebacterium tuberculostearicum	6	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium tuberculostearicum
Corynebacterium tuberculostearicum SK141	2210	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium tuberculostearicum SK141
Corynebacterium ulcerans 0102	2349	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium ulcerans 0102
Corynebacterium ulcerans 809	2180	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium ulcerans 809
Corynebacterium ulcerans BR-AD22	2334	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium ulcerans BR-AD22
Corynebacterium urealyticum DSM 7109	2022	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium urealyticum DSM 7109
Corynebacterium urealyticum DSM 7111	1935	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium urealyticum DSM 7111
Corynebacterium variabile DSM 44702	3039	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Corynebacteriaceae;Corynebacterium;Corynebacterium variabile DSM 44702
Dietzia cinnamea P4	3538	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Dietziaceae;Dietzia;Dietzia cinnamea P4
Amycolicicoccus subflavus DQS3-9A1	4705	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Amycolicicoccus;Amycolicicoccus subflavus DQS3-9A1
Mycobacterium JDM601	4346	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium JDM601
Mycobacterium JLS	5739	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium JLS
Mycobacterium KMS	5975	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium KMS
Mycobacterium MCS	5615	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium MCS
Mycobacterium MOTT36Y	5128	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium MOTT36Y
Mycobacterium abscessus	4942	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium abscessus
Mycobacterium abscessus ATCC 19977	4941	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium abscessus ATCC 19977
Mycobacterium abscessus subsp. bolletii 50594	5185	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium abscessus subsp. bolletii 50594
Mycobacterium abscessus subsp. bolletii CCUG 48898 = JCM 15300	4828	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium abscessus subsp. bolletii CCUG 48898 = JCM 15300
Mycobacterium africanum GM041182	3830	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium africanum GM041182
Mycobacterium avium	7	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium avium
Mycobacterium avium 104	5120	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium avium 104
Mycobacterium avium subsp. avium ATCC 25291	4634	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium avium subsp. avium ATCC 25291
Mycobacterium avium subsp. paratuberculosis K-10	4350	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium avium subsp. paratuberculosis K-10
Mycobacterium avium subsp. paratuberculosis MAP4	4326	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium avium subsp. paratuberculosis MAP4
Mycobacterium bovis AF2122/97	3918	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium bovis AF2122/97
Mycobacterium bovis BCG str. Korea 1168P	4139	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium bovis BCG str. Korea 1168P
Mycobacterium bovis BCG str. Mexico	3981	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium bovis BCG str. Mexico
Mycobacterium bovis BCG str. Pasteur 1173P2	3949	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium bovis BCG str. Pasteur 1173P2
Mycobacterium bovis BCG str. Tokyo 172	3944	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium bovis BCG str. Tokyo 172
Mycobacterium canettii CIPT 140010059	3861	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium canettii CIPT 140010059
Mycobacterium canettii CIPT 140060008	3981	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium canettii CIPT 140060008
Mycobacterium canettii CIPT 140070008	3986	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium canettii CIPT 140070008
Mycobacterium canettii CIPT 140070010	3941	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium canettii CIPT 140070010
Mycobacterium canettii CIPT 140070017	4009	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium canettii CIPT 140070017
Mycobacterium celatum	18	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium celatum
Mycobacterium chubuense NBB4	5843	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium chubuense NBB4
Mycobacterium colombiense CECT 3035	5197	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium colombiense CECT 3035
Mycobacterium gilvum PYR-GCK	5579	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium gilvum PYR-GCK
Mycobacterium gilvum Spyr1	5349	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium gilvum Spyr1
Mycobacterium indicus pranii MTCC 9506	5254	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium indicus pranii MTCC 9506
Mycobacterium intracellulare ATCC 13950	5144	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium intracellulare ATCC 13950
Mycobacterium intracellulare MOTT-02	5149	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium intracellulare MOTT-02
Mycobacterium intracellulare MOTT-64	5249	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium intracellulare MOTT-64
Mycobacterium kansasii ATCC 12478	5913	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium kansasii ATCC 12478
Mycobacterium leprae Br4923	1604	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium leprae Br4923
Mycobacterium leprae TN	1605	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium leprae TN
Mycobacterium liflandii 128FXT	4994	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium liflandii 128FXT
Mycobacterium marinum M	5452	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium marinum M
Mycobacterium massiliense str. GO 06	2626	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium massiliense str. GO 06
Mycobacterium parascrofulaceum ATCC BAA-614	6456	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium parascrofulaceum ATCC BAA-614
Mycobacterium rhodesiae NBB3	6147	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium rhodesiae NBB3
Mycobacterium smegmatis JS623	6939	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium smegmatis JS623
Mycobacterium smegmatis str. MC2 155	6717	Bacteria;Actinobacteria;Actinobacteria_X;Corynebacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium smegmatis str. MC2 155
