target_id	length	eff_length	est_counts	tpm
Aazo_0112-NC_014248	63	13	0	0
Aazo_0113-NC_014248	312	262	0	0
Aazo_0114-NC_014248	220	170	0	0
Aazo_0115-NC_014248	306	256	0	0
Aazo_0117-NC_014248	470	420	0	0
Aazo_0118-NC_014248	127	77	0	0
Aazo_0119-NC_014248	67	17	0	0
Aazo_0120-NC_014248	74	24	0	0
Aazo_0121-NC_014248	494	444	0	0
Aazo_0122-NC_014248	209	159	0	0
Aazo_0123-NC_014248	234	184	0	0
Aazo_0124-NC_014248	481	431	0	0
Aazo_0125-NC_014248	44	1.00055	0	0
Aazo_0129-NC_014248	182	132	0	0
Aazo_0130-NC_014248	207	157	0	0
Aazo_0131-NC_014248	314	264	0	0
Aazo_0132-NC_014248	46	1.00408	0	0
Aazo_0133-NC_014248	956	906	0	0
Aazo_0136-NC_014248	982	932	0	0
Aazo_0137-NC_014248	231	181	0	0
Aazo_0138-NC_014248	279	229	0	0
Aazo_0139-NC_014248	306	256	0	0
Aazo_0140-NC_014248	239	189	0	0
Aazo_0142-NC_014248	41	1.00003	0	0
Aazo_0146-NC_014248	337	287	0	0
Aazo_0147-NC_014248	238	188	0	0
Aazo_0148-NC_014248	39	1	0	0
Aazo_0149-NC_014248	128	78	0	0
Aazo_0150-NC_014248	695	645	0	0
Aazo_0152-NC_014248	239	189	0	0
Aazo_0153-NC_014248	129	79	0	0
Aazo_0154-NC_014248	97	47	0	0
Aazo_0155-NC_014248	50	1.2105	0	0
Aazo_0156-NC_014248	117	67	0	0
Aazo_0157-NC_014248	192	142	0	0
Aazo_0158-NC_014248	269	219	0	0
Aazo_0159-NC_014248	164	114	0	0
Aazo_0160-NC_014248	257	207	0	0
Aazo_0162-NC_014248	42	1.00007	0	0
Aazo_0163-NC_014248	597	547	0	0
Aazo_0164-NC_014248	217	167	0	0
Aazo_0165-NC_014248	427	377	0	0
Aazo_0167-NC_014248	151	101	0	0
Aazo_0169-NC_014248	524	474	0	0
Aazo_0170-NC_014248	77	27	0	0
Aazo_0175-NC_014248	255	205	0	0
Aazo_0176-NC_014248	378	328	0	0
Aazo_0177-NC_014248	108	58	0	0
Aazo_0178-NC_014248	230	180	0	0
Aazo_0180-NC_014248	533	483	0	0
Aazo_0181-NC_014248	99	49	0	0
Aazo_0182-NC_014248	335	285	0	0
Aazo_0183-NC_014248	262	212	0	0
Aazo_0185-NC_014248	84	34	0	0
Aazo_0187-NC_014248	80	30	0	0
Aazo_0188-NC_014248	233	183	0	0
Aazo_0189-NC_014248	448	398	0	0
Aazo_0190-NC_014248	321	271	0	0
Aazo_0191-NC_014248	250	200	0	0
Aazo_0192-NC_014248	72	22	0	0
Aazo_0193-NC_014248	134	84	0	0
Aazo_0194-NC_014248	382	332	0	0
Aazo_0195-NC_014248	523	473	0	0
Aazo_0196-NC_014248	563	513	0	0
Aazo_0197-NC_014248	413	363	0	0
Aazo_0198-NC_014248	178	128	0	0
Aazo_0199-NC_014248	94	44	0	0
Aazo_0200-NC_014248	57	7	0	0
Aazo_0201-NC_014248	28	1	0	0
Aazo_0202-NC_014248	53	3.0139	0	0
Aazo_0203-NC_014248	928	878	0	0
Aazo_0204-NC_014248	69	19	0	0
Aazo_0205-NC_014248	34	1	0	0
Aazo_0207-NC_014248	207	157	0	0
Aazo_0208-NC_014248	134	84	0	0
Aazo_0209-NC_014248	176	126	0	0
Aazo_0210-NC_014248	140	90	0	0
Aazo_0212-NC_014248	41	1.00003	0	0
Aazo_0214-NC_014248	965	915	0	0
Aazo_0215-NC_014248	809	759	0	0
Aazo_0216-NC_014248	34	1	0	0
Aazo_0217-NC_014248	97	47	0	0
Aazo_0219-NC_014248	72	22	0	0
Aazo_0225-NC_014248	1418	1368	0	0
Aazo_0227-NC_014248	631	581	0	0
Aazo_0228-NC_014248	73	23	0	0
Aazo_0229-NC_014248	64	14	0	0
Aazo_0232-NC_014248	82	32	0	0
Aazo_0233-NC_014248	452	402	0	0
Aazo_0234-NC_014248	159	109	0	0
Aazo_0235-NC_014248	402	352	0	0
Aazo_0236-NC_014248	218	168	0	0
Aazo_0237-NC_014248	51	1.52009	0	0
Aazo_0239-NC_014248	68	18	0	0
Aazo_0241-NC_014248	57	7	0	0
Aazo_0245-NC_014248	107	57	0	0
Aazo_0248-NC_014248	150	100	0	0
Aazo_0252-NC_014248	93	43	0	0
Aazo_0253-NC_014248	65	15	0	0
Aazo_0256-NC_014248	742	692	0	0
Aazo_0257-NC_014248	207	157	0	0
Aazo_0261-NC_014248	32	1	0	0
Aazo_0262-NC_014248	187	137	0	0
Aazo_0263-NC_014248	45	1.0015	0	0
Aazo_0265-NC_014248	128	78	0	0
Aazo_0271-NC_014248	295	245	0	0
Aazo_0272-NC_014248	351	301	0	0
Aazo_0273-NC_014248	56	6	0	0
Aazo_0274-NC_014248	65	15	0	0
Aazo_0275-NC_014248	79	29	0	0
Aazo_0278-NC_014248	318	268	0	0
Aazo_0279-NC_014248	676	626	0	0
Aazo_0282-NC_014248	116	66	0	0
Aazo_0283-NC_014248	148	98	0	0
Aazo_0284-NC_014248	74	24	0	0
Aazo_0286-NC_014248	63	13	0	0
Aazo_0287-NC_014248	427	377	0	0
Aazo_0288-NC_014248	884	834	0	0
Aazo_0290-NC_014248	114	64	0	0
Aazo_0293-NC_014248	151	101	0	0
Aazo_0294-NC_014248	261	211	0	0
Aazo_0295-NC_014248	277	227	0	0
Aazo_0296-NC_014248	162	112	0	0
Aazo_0297-NC_014248	172	122	0	0
Aazo_0298-NC_014248	230	180	0	0
Aazo_0299-NC_014248	407	357	0	0
Aazo_0300-NC_014248	153	103	0	0
Aazo_0301-NC_014248	76	26	0	0
Aazo_0302-NC_014248	30	1	0	0
Aazo_0304-NC_014248	345	295	0	0
Aazo_0305-NC_014248	294	244	0	0
Aazo_0306-NC_014248	401	351	0	0
Aazo_0307-NC_014248	114	64	0	0
Aazo_0308-NC_014248	191	141	0	0
Aazo_0309-NC_014248	226	176	0	0
Aazo_0310-NC_014248	731	681	0	0
Aazo_0312-NC_014248	319	269	0	0
Aazo_0313-NC_014248	164	114	0	0
Aazo_0314-NC_014248	145	95	0	0
Aazo_0315-NC_014248	582	532	0	0
Aazo_0316-NC_014248	501	451	0	0
Aazo_0317-NC_014248	364	314	0	0
Aazo_0318-NC_014248	94	44	0	0
Aazo_0319-NC_014248	818	768	0	0
Aazo_0320-NC_014248	259	209	0	0
Aazo_0321-NC_014248	269	219	0	0
Aazo_0322-NC_014248	374	324	0	0
Aazo_0323-NC_014248	432	382	0	0
Aazo_0324-NC_014248	42	1.00007	0	0
Aazo_0325-NC_014248	438	388	0	0
Aazo_0326-NC_014248	41	1.00003	0	0
Aazo_0327-NC_014248	45	1.0015	0	0
Aazo_0328-NC_014248	173	123	0	0
Aazo_0329-NC_014248	170	120	0	0
Aazo_0330-NC_014248	144	94	0	0
Aazo_0331-NC_014248	937	887	0	0
Aazo_0333-NC_014248	276	226	0	0
Aazo_0334-NC_014248	465	415	0	0
Aazo_0335-NC_014248	175	125	0	0
Aazo_0336-NC_014248	30	1	0	0
Aazo_0337-NC_014248	97	47	0	0
Aazo_0340-NC_014248	163	113	0	0
Aazo_0343-NC_014248	331	281	0	0
Aazo_0348-NC_014248	73	23	0	0
Aazo_0349-NC_014248	67	17	0	0
Aazo_0350-NC_014248	36	1	0	0
Aazo_0352-NC_014248	437	387	0	0
Aazo_0353-NC_014248	449	399	0	0
Aazo_0354-NC_014248	405	355	0	0
Aazo_0355-NC_014248	261	211	0	0
Aazo_0356-NC_014248	283	233	0	0
Aazo_0357-NC_014248	613	563	0	0
Aazo_0360-NC_014248	107	57	0	0
Aazo_0361-NC_014248	48	1.02996	0	0
Aazo_0362-NC_014248	163	113	0	0
Aazo_0363-NC_014248	379	329	0	0
Aazo_0364-NC_014248	413	363	0	0
Aazo_0365-NC_014248	424	374	0	0
Aazo_0366-NC_014248	274	224	0	0
Aazo_0367-NC_014248	270	220	0	0
Aazo_0368-NC_014248	563	513	0	0
Aazo_0369-NC_014248	256	206	0	0
Aazo_0371-NC_014248	40	1.00001	0	0
Aazo_0377-NC_014248	852	802	0	0
Aazo_0379-NC_014248	363	313	0	0
Aazo_0380-NC_014248	62	12	0	0
Aazo_0382-NC_014248	241	191	0	0
Aazo_0384-NC_014248	277	227	0	0
Aazo_0385-NC_014248	76	26	0	0
Aazo_0386-NC_014248	264	214	0	0
Aazo_0388-NC_014248	322	272	0	0
Aazo_0389-NC_014248	224	174	0	0
Aazo_0394-NC_014248	151	101	0	0
Aazo_0395-NC_014248	257	207	0	0
Aazo_0396-NC_014248	35	1	0	0
Aazo_0397-NC_014248	43	1.0002	0	0
Aazo_0398-NC_014248	306	256	0	0
Aazo_0399-NC_014248	101	51	0	0
Aazo_0400-NC_014248	205	155	0	0
Aazo_0401-NC_014248	194	144	0	0
Aazo_0402-NC_014248	372	322	0	0
Aazo_0403-NC_014248	39	1	0	0
Aazo_0404-NC_014248	378	328	0	0
Aazo_0406-NC_014248	56	6	0	0
Aazo_0407-NC_014248	231	181	0	0
Aazo_0410-NC_014248	429	379	0	0
Aazo_0411-NC_014248	165	115	0	0
Aazo_0412-NC_014248	395	345	0	0
Aazo_0413-NC_014248	347	297	0	0
Aazo_0414-NC_014248	171	121	0	0
Aazo_0415-NC_014248	750	700	0	0
Aazo_0416-NC_014248	977	927	0	0
Aazo_0419-NC_014248	630	580	0	0
Aazo_0420-NC_014248	405	355	0	0
Aazo_0421-NC_014248	420	370	0	0
Aazo_0423-NC_014248	135	85	0	0
Aazo_0424-NC_014248	92	42	0	0
Aazo_0425-NC_014248	141	91	0	0
Aazo_0426-NC_014248	302	252	0	0
Aazo_0427-NC_014248	388	338	0	0
Aazo_0428-NC_014248	302	252	0	0
Aazo_0429-NC_014248	159	109	0	0
Aazo_0431-NC_014248	311	261	0	0
Aazo_0432-NC_014248	38	1	0	0
Aazo_0442-NC_014248	513	463	0	0
Aazo_0443-NC_014248	440	390	0	0
Aazo_0444-NC_014248	64	14	0	0
Aazo_0445-NC_014248	282	232	0	0
Aazo_0446-NC_014248	327	277	0	0
Aazo_0449-NC_014248	556	506	0	0
Aazo_0450-NC_014248	149	99	0	0
Aazo_0451-NC_014248	259	209	0	0
Aazo_0453-NC_014248	127	77	0	0
Aazo_0456-NC_014248	57	7	0	0
Aazo_0458-NC_014248	302	252	0	0
Aazo_0459-NC_014248	441	391	0	0
Aazo_0460-NC_014248	69	19	0	0
Aazo_0462-NC_014248	1138	1088	0	0
Aazo_0463-NC_014248	403	353	0	0
Aazo_0464-NC_014248	128	78	0	0
Aazo_0465-NC_014248	226	176	0	0
Aazo_0466-NC_014248	254	204	0	0
Aazo_0467-NC_014248	187	137	0	0
Aazo_0468-NC_014248	47	1.01108	0	0
Aazo_0469-NC_014248	133	83	0	0
Aazo_0470-NC_014248	428	378	0	0
Aazo_0478-NC_014248	200	150	0	0
Aazo_0479-NC_014248	306	256	0	0
Aazo_0481-NC_014248	353	303	0	0
Aazo_0482-NC_014248	244	194	0	0
Aazo_0483-NC_014248	67	17	0	0
Aazo_0484-NC_014248	78	28	0	0
Aazo_0485-NC_014248	44	1.00055	0	0
Aazo_0487-NC_014248	137	87	0	0
Aazo_0491-NC_014248	349	299	0	0
Aazo_0492-NC_014248	124	74	0	0
Aazo_0496-NC_014248	147	97	0	0
Aazo_0497-NC_014248	92	42	0	0
Aazo_0498-NC_014248	34	1	0	0
Aazo_0499-NC_014248	261	211	0	0
Aazo_0500-NC_014248	701	651	0	0
Aazo_0501-NC_014248	283	233	0	0
Aazo_0502-NC_014248	37	1	0	0
Aazo_0503-NC_014248	98	48	0	0
Aazo_0504-NC_014248	45	1.0015	0	0
Aazo_0505-NC_014248	394	344	0	0
Aazo_0506-NC_014248	150	100	0	0
Aazo_0507-NC_014248	255	205	0	0
Aazo_0509-NC_014248	141	91	0	0
Aazo_0511-NC_014248	410	360	0	0
Aazo_0512-NC_014248	202	152	0	0
Aazo_0513-NC_014248	196	146	0	0
Aazo_0514-NC_014248	445	395	0	0
Aazo_0516-NC_014248	383	333	0	0
Aazo_0517-NC_014248	621	571	0	0
Aazo_0518-NC_014248	754	704	0	0
Aazo_0523-NC_014248	531	481	0	0
Aazo_0524-NC_014248	177	127	0	0
Aazo_0525-NC_014248	155	105	0	0
Aazo_0526-NC_014248	61	11	0	0
Aazo_0527-NC_014248	211	161	0	0
Aazo_0531-NC_014248	869	819	0	0
Aazo_0532-NC_014248	523	473	0	0
Aazo_0533-NC_014248	34	1	0	0
Aazo_0534-NC_014248	304	254	0	0
Aazo_0536-NC_014248	45	1.0015	0	0
Aazo_0537-NC_014248	454	404	0	0
Aazo_0540-NC_014248	413	363	0	0
Aazo_0542-NC_014248	1329	1279	0	0
Aazo_0544-NC_014248	89	39	0	0
Aazo_0546-NC_014248	743	693	0	0
Aazo_0547-NC_014248	752	702	0	0
Aazo_0548-NC_014248	41	1.00003	0	0
Aazo_0549-NC_014248	501	451	0	0
Aazo_0552-NC_014248	85	35	0	0
Aazo_0554-NC_014248	62	12	0	0
Aazo_0555-NC_014248	84	34	0	0
Aazo_0558-NC_014248	220	170	0	0
Aazo_0560-NC_014248	229	179	0	0
Aazo_0561-NC_014248	640	590	0	0
Aazo_0562-NC_014248	1290	1240	0	0
Aazo_0564-NC_014248	151	101	0	0
Aazo_0565-NC_014248	417	367	0	0
Aazo_0566-NC_014248	317	267	0	0
Aazo_0567-NC_014248	289	239	0	0
Aazo_0568-NC_014248	194	144	0	0
Aazo_0569-NC_014248	78	28	0	0
Aazo_0570-NC_014248	184	134	0	0
Aazo_0571-NC_014248	1094	1044	0	0
Aazo_0572-NC_014248	332	282	0	0
Aazo_0573-NC_014248	114	64	0	0
Aazo_0574-NC_014248	139	89	0	0
Aazo_0575-NC_014248	99	49	0	0
Aazo_0576-NC_014248	152	102	0	0
Aazo_0577-NC_014248	218	168	0	0
Aazo_0578-NC_014248	224	174	0	0
Aazo_0579-NC_014248	172	122	0	0
Aazo_0580-NC_014248	212	162	0	0
Aazo_0581-NC_014248	242	192	0	0
Aazo_0583-NC_014248	218	168	0	0
Aazo_0584-NC_014248	518	468	0	0
Aazo_0586-NC_014248	110	60	0	0
Aazo_0590-NC_014248	362	312	0	0
Aazo_0592-NC_014248	225	175	0	0
Aazo_0595-NC_014248	471	421	0	0
Aazo_0596-NC_014248	153	103	0	0
Aazo_0597-NC_014248	425	375	0	0
Aazo_0598-NC_014248	90	40	0	0
Aazo_0599-NC_014248	1042	992	0	0
Aazo_0600-NC_014248	65	15	0	0
Aazo_0601-NC_014248	546	496	0	0
Aazo_0602-NC_014248	89	39	0	0
Aazo_0603-NC_014248	55	5.00001	0	0
Aazo_0607-NC_014248	461	411	0	0
Aazo_0609-NC_014248	395	345	0	0
Aazo_0610-NC_014248	86	36	0	0
Aazo_0611-NC_014248	181	131	0	0
Aazo_0612-NC_014248	64	14	0	0
Aazo_0613-NC_014248	136	86	0	0
Aazo_0616-NC_014248	721	671	0	0
Aazo_0618-NC_014248	454	404	0	0
Aazo_0620-NC_014248	251	201	0	0
Aazo_0621-NC_014248	368	318	0	0
Aazo_0622-NC_014248	207	157	0	0
Aazo_0623-NC_014248	198	148	0	0
Aazo_0626-NC_014248	127	77	0	0
Aazo_0630-NC_014248	47	1.01108	0	0
Aazo_0634-NC_014248	53	3.0139	0	0
Aazo_0635-NC_014248	142	92	0	0
Aazo_0636-NC_014248	312	262	0	0
Aazo_0637-NC_014248	320	270	0	0
Aazo_0638-NC_014248	520	470	0	0
Aazo_0639-NC_014248	71	21	0	0
Aazo_0640-NC_014248	114	64	0	0
Aazo_0641-NC_014248	165	115	0	0
Aazo_0642-NC_014248	65	15	0	0
Aazo_0645-NC_014248	175	125	0	0
Aazo_0646-NC_014248	398	348	0	0
Aazo_0647-NC_014248	496	446	0	0
Aazo_0648-NC_014248	515	465	0	0
Aazo_0651-NC_014248	97	47	0	0
Aazo_0652-NC_014248	302	252	0	0
Aazo_0653-NC_014248	1571	1521	0	0
Aazo_0654-NC_014248	44	1.00055	0	0
Aazo_0655-NC_014248	642	592	0	0
Aazo_0656-NC_014248	139	89	0	0
Aazo_0657-NC_014248	37	1	0	0
Aazo_0658-NC_014248	110	60	0	0
Aazo_0659-NC_014248	127	77	0	0
Aazo_0660-NC_014248	156	106	0	0
Aazo_0661-NC_014248	692	642	0	0
Aazo_0662-NC_014248	409	359	0	0
Aazo_0663-NC_014248	105	55	0	0
Aazo_0664-NC_014248	216	166	0	0
Aazo_0665-NC_014248	293	243	0	0
Aazo_0666-NC_014248	195	145	0	0
Aazo_0667-NC_014248	221	171	0	0
Aazo_0668-NC_014248	713	663	0	0
Aazo_0669-NC_014248	63	13	0	0
Aazo_0670-NC_014248	898	848	0	0
Aazo_0671-NC_014248	65	15	0	0
Aazo_0672-NC_014248	118	68	0	0
Aazo_0673-NC_014248	92	42	0	0
Aazo_0674-NC_014248	277	227	0	0
Aazo_0675-NC_014248	70	20	0	0
Aazo_0676-NC_014248	33	1	0	0
Aazo_0677-NC_014248	214	164	0	0
Aazo_0678-NC_014248	460	410	0	0
Aazo_0679-NC_014248	532	482	0	0
Aazo_0680-NC_014248	467	417	0	0
Aazo_0681-NC_014248	97	47	0	0
Aazo_0682-NC_014248	384	334	0	0
Aazo_0683-NC_014248	170	120	0	0
Aazo_0684-NC_014248	44	1.00055	0	0
Aazo_0685-NC_014248	140	90	0	0
Aazo_0686-NC_014248	129	79	0	0
Aazo_0687-NC_014248	383	333	0	0
Aazo_0688-NC_014248	177	127	0	0
Aazo_0689-NC_014248	168	118	0	0
Aazo_0693-NC_014248	503	453	0	0
Aazo_0694-NC_014248	158	108	0	0
Aazo_0695-NC_014248	637	587	0	0
Aazo_0696-NC_014248	1007	957	0	0
Aazo_0699-NC_014248	83	33	0	0
Aazo_0700-NC_014248	193	143	0	0
Aazo_0701-NC_014248	79	29	0	0
Aazo_0702-NC_014248	375	325	0	0
Aazo_0705-NC_014248	111	61	0	0
Aazo_0706-NC_014248	81	31	0	0
Aazo_0707-NC_014248	150	100	0	0
Aazo_0708-NC_014248	362	312	0	0
Aazo_0710-NC_014248	486	436	0	0
Aazo_0712-NC_014248	54	4.00054	0	0
Aazo_0718-NC_014248	390	340	0	0
Aazo_0719-NC_014248	69	19	0	0
Aazo_0721-NC_014248	359	309	0	0
Aazo_0722-NC_014248	806	756	0	0
Aazo_0723-NC_014248	196	146	0	0
Aazo_0724-NC_014248	127	77	0	0
Aazo_0725-NC_014248	127	77	0	0
Aazo_0726-NC_014248	146	96	0	0
Aazo_0727-NC_014248	199	149	0	0
Aazo_0728-NC_014248	1013	963	0	0
Aazo_0729-NC_014248	508	458	0	0
Aazo_0730-NC_014248	261	211	0	0
Aazo_0731-NC_014248	100	50	0	0
Aazo_0732-NC_014248	365	315	0	0
Aazo_0733-NC_014248	385	335	0	0
Aazo_0734-NC_014248	71	21	0	0
Aazo_0735-NC_014248	77	27	0	0
Aazo_0736-NC_014248	82	32	0	0
Aazo_0738-NC_014248	506	456	0	0
Aazo_0739-NC_014248	539	489	0	0
Aazo_0740-NC_014248	205	155	0	0
Aazo_0741-NC_014248	158	108	0	0
Aazo_0744-NC_014248	1217	1167	0	0
Aazo_0745-NC_014248	329	279	0	0
Aazo_0749-NC_014248	240	190	0	0
Aazo_0752-NC_014248	251	201	0	0
Aazo_0753-NC_014248	45	1.0015	0	0
Aazo_0756-NC_014248	85	35	0	0
Aazo_0763-NC_014248	119	69	0	0
Aazo_0765-NC_014248	235	185	0	0
Aazo_0766-NC_014248	459	409	0	0
Aazo_0767-NC_014248	165	115	0	0
Aazo_0768-NC_014248	64	14	0	0
Aazo_0770-NC_014248	207	157	0	0
Aazo_0771-NC_014248	341	291	0	0
Aazo_0772-NC_014248	215	165	0	0
Aazo_0775-NC_014248	180	130	0	0
Aazo_0776-NC_014248	479	429	0	0
Aazo_0778-NC_014248	316	266	0	0
Aazo_0779-NC_014248	428	378	0	0
Aazo_0780-NC_014248	669	619	0	0
Aazo_0782-NC_014248	266	216	0	0
Aazo_0783-NC_014248	112	62	0	0
Aazo_0786-NC_014248	72	22	0	0
Aazo_0787-NC_014248	81	31	0	0
Aazo_0788-NC_014248	41	1.00003	0	0
Aazo_0789-NC_014248	63	13	0	0
Aazo_0791-NC_014248	193	143	0	0
Aazo_0792-NC_014248	93	43	0	0
Aazo_0793-NC_014248	61	11	0	0
Aazo_0794-NC_014248	86	36	0	0
Aazo_0795-NC_014248	234	184	0	0
Aazo_0796-NC_014248	479	429	0	0
Aazo_0797-NC_014248	261	211	0	0
Aazo_0798-NC_014248	448	398	0	0
Aazo_0799-NC_014248	423	373	0	0
Aazo_0800-NC_014248	59	9	0	0
Aazo_0804-NC_014248	64	14	0	0
Aazo_0805-NC_014248	99	49	0	0
Aazo_0808-NC_014248	204	154	0	0
Aazo_0809-NC_014248	176	126	0	0
Aazo_0810-NC_014248	185	135	0	0
Aazo_0811-NC_014248	368	318	0	0
Aazo_0812-NC_014248	346	296	0	0
Aazo_0813-NC_014248	337	287	0	0
Aazo_0814-NC_014248	208	158	0	0
Aazo_0815-NC_014248	493	443	0	0
Aazo_0816-NC_014248	321	271	0	0
Aazo_0817-NC_014248	116	66	0	0
Aazo_0818-NC_014248	157	107	0	0
Aazo_0819-NC_014248	227	177	0	0
Aazo_0820-NC_014248	155	105	0	0
Aazo_0821-NC_014248	92	42	0	0
Aazo_0822-NC_014248	471	421	0	0
Aazo_0823-NC_014248	514	464	0	0
Aazo_0824-NC_014248	378	328	0	0
Aazo_0825-NC_014248	309	259	0	0
Aazo_0826-NC_014248	240	190	0	0
Aazo_0827-NC_014248	456	406	0	0
Aazo_0828-NC_014248	726	676	0	0
Aazo_0829-NC_014248	325	275	0	0
Aazo_0830-NC_014248	360	310	0	0
Aazo_0834-NC_014248	65	15	0	0
Aazo_0835-NC_014248	362	312	0	0
Aazo_0836-NC_014248	268	218	0	0
Aazo_0837-NC_014248	121	71	0	0
Aazo_0838-NC_014248	293	243	0	0
Aazo_0839-NC_014248	455	405	0	0
Aazo_0840-NC_014248	547	497	0	0
Aazo_0841-NC_014248	280	230	0	0
Aazo_0842-NC_014248	273	223	0	0
Aazo_0843-NC_014248	344	294	0	0
Aazo_0845-NC_014248	115	65	0	0
Aazo_0846-NC_014248	537	487	0	0
Aazo_0847-NC_014248	425	375	0	0
Aazo_0850-NC_014248	107	57	0	0
Aazo_0852-NC_014248	80	30	0	0
Aazo_0853-NC_014248	75	25	0	0
Aazo_0855-NC_014248	289	239	0	0
Aazo_0856-NC_014248	396	346	0	0
Aazo_0857-NC_014248	158	108	0	0
Aazo_0858-NC_014248	323	273	0	0
Aazo_0859-NC_014248	65	15	0	0
Aazo_0860-NC_014248	284	234	0	0
Aazo_0861-NC_014248	631	581	0	0
Aazo_0862-NC_014248	619	569	0	0
Aazo_0863-NC_014248	513	463	0	0
Aazo_0864-NC_014248	248	198	0	0
Aazo_0865-NC_014248	120	70	0	0
Aazo_0866-NC_014248	335	285	0	0
Aazo_0867-NC_014248	265	215	0	0
Aazo_0868-NC_014248	211	161	0	0
Aazo_0869-NC_014248	375	325	0	0
Aazo_0870-NC_014248	72	22	0	0
Aazo_0873-NC_014248	143	93	0	0
Aazo_0878-NC_014248	257	207	0	0
Aazo_0879-NC_014248	79	29	0	0
Aazo_0882-NC_014248	69	19	0	0
Aazo_0883-NC_014248	79	29	0	0
Aazo_0884-NC_014248	242	192	0	0
Aazo_0885-NC_014248	75	25	0	0
Aazo_0886-NC_014248	404	354	0	0
Aazo_0887-NC_014248	306	256	0	0
Aazo_0888-NC_014248	269	219	0	0
Aazo_0889-NC_014248	197	147	0	0
